Comparison,MAP@10_mean_comp,nDCG@10_mean_comp,Precision@10_mean_comp,Recall@10_mean_comp,FScore@10_mean_comp,MAP@10 t_p,MAP@10 w_p,nDCG@10 t_p,nDCG@10 w_p,Precision@10 t_p,Precision@10 w_p,Recall@10 t_p,Recall@10 w_p,FScore@10 t_p,FScore@10 w_p
tfidf_plain vs tfidf_rerank_expand,0.328,0.4842,0.2964,0.4279,0.3024,0.2129,0.2019,0.9645,0.2914,0.5405,0.5281,0.6392,0.7045,0.5418,0.653
tfidf_plain vs lsa_rerank_spell,0.2468,0.3872,0.2533,0.3609,0.2575,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0
tfidf_plain vs lsa_plain,0.2519,0.3946,0.2587,0.3648,0.2626,0.0,0.0,0.0,0.0,0.0002,0.0004,0.0,0.0,0.0001,0.0001
tfidf_plain vs bm25_rerank_expand_spell,0.3363,0.4955,0.292,0.4253,0.2984,0.0354,0.0095,0.2092,0.0625,0.9453,0.7672,0.8286,0.9326,0.9982,0.9019
tfidf_plain vs tfidf_spell,0.3143,0.478,0.2893,0.4189,0.2951,0.0754,0.0702,0.0618,0.0641,0.1785,0.3642,0.1457,0.1817,0.1569,0.1579
tfidf_plain vs bm25_rerank,0.3329,0.494,0.2902,0.4205,0.2961,0.0885,0.0045,0.2602,0.0329,0.7252,0.4191,0.7333,0.9276,0.7062,0.9832
tfidf_plain vs tfidf_rerank,0.328,0.4842,0.2964,0.4279,0.3024,0.2129,0.2019,0.9645,0.2914,0.5405,0.5281,0.6392,0.7045,0.5418,0.653
tfidf_plain vs lsa_rerank_expand,0.2519,0.3946,0.2587,0.3648,0.2626,0.0,0.0,0.0,0.0,0.0002,0.0004,0.0,0.0,0.0001,0.0001
tfidf_plain vs tfidf_expand_spell,0.3143,0.478,0.2893,0.4189,0.2951,0.0754,0.0702,0.0618,0.0641,0.1785,0.3642,0.1457,0.1817,0.1569,0.1579
tfidf_plain vs bm25_rerank_spell,0.3363,0.4955,0.292,0.4253,0.2984,0.0354,0.0095,0.2092,0.0625,0.9453,0.7672,0.8286,0.9326,0.9982,0.9019
tfidf_plain vs tfidf_expand,0.3188,0.4838,0.2924,0.4235,0.2984,nan,SKIPPED,nan,SKIPPED,nan,SKIPPED,nan,SKIPPED,nan,SKIPPED
tfidf_plain vs tfidf_rerank_expand_spell,0.3233,0.4767,0.2916,0.4231,0.2976,0.5497,0.5266,0.4091,0.9544,0.8976,0.9815,0.9715,0.835,0.8985,0.9745
tfidf_plain vs bm25_spell,0.3362,0.4949,0.2916,0.4249,0.298,0.0379,0.0102,0.2333,0.0675,0.8926,0.7529,0.8716,0.9301,0.9448,0.929
tfidf_plain vs bm25_plain,0.3326,0.4935,0.2898,0.4202,0.2956,0.0975,0.0054,0.2826,0.0363,0.6754,0.3996,0.7044,0.8737,0.6595,0.9186
tfidf_plain vs bm25_rerank_expand,0.3329,0.494,0.2902,0.4205,0.2961,0.0885,0.0045,0.2602,0.0329,0.7252,0.4191,0.7333,0.9276,0.7062,0.9832
tfidf_plain vs lsa_rerank,0.2519,0.3946,0.2587,0.3648,0.2626,0.0,0.0,0.0,0.0,0.0002,0.0004,0.0,0.0,0.0001,0.0001
tfidf_plain vs bm25_expand,0.3326,0.4935,0.2898,0.4202,0.2956,0.0975,0.0054,0.2826,0.0363,0.6754,0.3996,0.7044,0.8737,0.6595,0.9186
tfidf_plain vs lsa_rerank_expand_spell,0.2468,0.3872,0.2533,0.3609,0.2575,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0
tfidf_plain vs lsa_spell,0.2468,0.3872,0.2533,0.3609,0.2575,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0
tfidf_plain vs tfidf_rerank_spell,0.3233,0.4767,0.2916,0.4231,0.2976,0.5497,0.5266,0.4091,0.9544,0.8976,0.9815,0.9715,0.835,0.8985,0.9745
tfidf_plain vs bm25_expand_spell,0.3362,0.4949,0.2916,0.4249,0.298,0.0379,0.0102,0.2333,0.0675,0.8926,0.7529,0.8716,0.9301,0.9448,0.929
tfidf_plain vs lsa_expand,0.2519,0.3946,0.2587,0.3648,0.2626,0.0,0.0,0.0,0.0,0.0002,0.0004,0.0,0.0,0.0001,0.0001
tfidf_plain vs lsa_expand_spell,0.2468,0.3872,0.2533,0.3609,0.2575,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0
