Comparison,MAP@10_mean_comp,nDCG@10_mean_comp,Precision@10_mean_comp,Recall@10_mean_comp,FScore@10_mean_comp,MAP@10 t_p,MAP@10 w_p,nDCG@10 t_p,nDCG@10 w_p,Precision@10 t_p,Precision@10 w_p,Recall@10 t_p,Recall@10 w_p,FScore@10 t_p,FScore@10 w_p,Improved,MAP_diff,nDCG_diff,Precision_diff,Recall_diff,FScore_diff
tfidf_plain vs lsa_rerank_spell,0.2468,0.3872,0.2533,0.3609,0.2575,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,False,-0.071961961584326,-0.09659761481776846,-0.039111111111111097,-0.06257413316616545,-0.04089225508063399
tfidf_plain vs lsa_plain,0.2519,0.3946,0.2587,0.3648,0.2626,0.0,0.0,0.0,0.0,0.0002,0.0004,0.0,0.0,0.0001,0.0001,False,-0.06688959152519125,-0.08921489452385645,-0.033777777777777795,-0.058666362650551696,-0.03587853815635578
tfidf_plain vs tfidf_spell,0.3143,0.478,0.2893,0.4189,0.2951,0.0754,0.0702,0.0618,0.0641,0.1785,0.3642,0.1457,0.1817,0.1569,0.1579,False,-0.004462722125887442,-0.005827077074368359,-0.00311111111111112,-0.004593007573399643,-0.003303714041142658
tfidf_plain vs lsa_rerank_expand,0.2519,0.3946,0.2587,0.3648,0.2626,0.0,0.0,0.0,0.0,0.0002,0.0004,0.0,0.0,0.0001,0.0001,False,-0.06688959152519125,-0.08921489452385645,-0.033777777777777795,-0.058666362650551696,-0.03587853815635578
tfidf_plain vs tfidf_expand_spell,0.3143,0.478,0.2893,0.4189,0.2951,0.0754,0.0702,0.0618,0.0641,0.1785,0.3642,0.1457,0.1817,0.1569,0.1579,False,-0.004462722125887442,-0.005827077074368359,-0.00311111111111112,-0.004593007573399643,-0.003303714041142658
tfidf_plain vs tfidf_expand,0.3188,0.4838,0.2924,0.4235,0.2984,,SKIPPED,,SKIPPED,,SKIPPED,,SKIPPED,,SKIPPED,False,0.0,0.0,0.0,0.0,0.0
tfidf_plain vs lsa_rerank,0.2519,0.3946,0.2587,0.3648,0.2626,0.0,0.0,0.0,0.0,0.0002,0.0004,0.0,0.0,0.0001,0.0001,False,-0.06688959152519125,-0.08921489452385645,-0.033777777777777795,-0.058666362650551696,-0.03587853815635578
tfidf_plain vs lsa_rerank_expand_spell,0.2468,0.3872,0.2533,0.3609,0.2575,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,False,-0.071961961584326,-0.09659761481776846,-0.039111111111111097,-0.06257413316616545,-0.04089225508063399
tfidf_plain vs lsa_spell,0.2468,0.3872,0.2533,0.3609,0.2575,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,False,-0.071961961584326,-0.09659761481776846,-0.039111111111111097,-0.06257413316616545,-0.04089225508063399
tfidf_plain vs lsa_expand,0.2519,0.3946,0.2587,0.3648,0.2626,0.0,0.0,0.0,0.0,0.0002,0.0004,0.0,0.0,0.0001,0.0001,False,-0.06688959152519125,-0.08921489452385645,-0.033777777777777795,-0.058666362650551696,-0.03587853815635578
tfidf_plain vs lsa_expand_spell,0.2468,0.3872,0.2533,0.3609,0.2575,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,False,-0.071961961584326,-0.09659761481776846,-0.039111111111111097,-0.06257413316616545,-0.04089225508063399
